restaurant_id,avg_risk,max_risk,last_score,inspections,latest_inspection,premises_name,premise_address_1,grade
JERSEY MIKES # 3020 MATTHEWS|1909 MATTHEWS TOWNSHIP PY,0.4062826918637063,0.6591091806647895,96.0,4,2024-12-02,JERSEY MIKES # 3020 MATTHEWS,1909 MATTHEWS TOWNSHIP PY,A
IHOP #4506|8146 S TRYON ST,0.40364452839769344,0.72710435032509,93.0,7,2024-10-04,IHOP #4506,8146 S TRYON ST,A
CHINA EXPRESS|315 S POLK ST,0.4035579032998991,0.8009862182226248,93.5,8,2024-10-16,CHINA EXPRESS,315 S POLK ST,A
CHUYS|7314 WAVERLY WALK AV,0.40339272782270885,0.7486679196616541,96.0,7,2024-10-25,CHUYS,7314 WAVERLY WALK AV,A
JACK IN THE BOX #6835|7725 PINEVILLE-MATTHEWS RD,0.4011277541391701,0.7756880786497306,91.0,5,2024-10-07,JACK IN THE BOX #6835,7725 PINEVILLE-MATTHEWS RD,A
HOMEWOOD SUITES CHARLOTTE UPTOWN 1ST WARD|508 N COLLEGE ST,0.4009952482255962,0.47292151782796255,95.0,2,2024-12-11,HOMEWOOD SUITES CHARLOTTE UPTOWN 1ST WARD,508 N COLLEGE ST,A
IHOP #4431|134 W WOODLAWN RD,0.4007320872400448,0.8948259195847527,92.5,7,2024-10-09,IHOP #4431,134 W WOODLAWN RD,A
RAI LAY|1520 SOUTH BV,0.3996986135571192,0.8286148028978187,95.0,7,2024-12-03,RAI LAY,1520 SOUTH BV,A
RHINO MARKET & DELI|2320 N DAVIDSON ST,0.39341627468002516,0.7492837055739366,96.5,6,2024-08-20,RHINO MARKET & DELI,2320 N DAVIDSON ST,A
JW MARRIOTT CLT CAROLINES OYSTER BAR & EVENTS|600 SOUTH COLLEGE ST,0.3928158424298858,0.7233413164420649,97.0,6,2024-10-30,JW MARRIOTT CLT CAROLINES OYSTER BAR & EVENTS,600 SOUTH COLLEGE ST,A
